Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2026,Chicago St.,65.9112,304,65.3994,276,98.2032,340,98.4052,340,115.074,320,118.476,333,-20.0712,348
2026,Cincinnati,69.4306,132,67.5732,165,105.167,247,111.61,131,97.9024,19,94.4359,13,17.1736,44
2026,Clemson,65.5883,320,64.0784,335,112.783,89,116.396,75,99.533,30,96.8943,18,19.502,35
2026,Cleveland St.,71.0375,55,69.3015,74,110.447,128,110.012,160,124.647,365,124.41,363,-14.398,321
2026,Coastal Carolina,68.3482,190,66.8818,202,102.631,293,102.198,301,104.067,79,107.792,139,-5.59455,230
2026,Colgate,66.9038,254,66.8452,206,109.554,153,107.521,202,111.212,256,114.619,280,-7.09786,253
2026,Colorado,70.1102,97,68.8042,102,112.209,101,117.694,58,111.578,264,106.256,111,11.4378,72
2026,Colorado St.,64.0415,353,62.463,361,118.483,36,120.332,50,112.125,276,110.827,206,9.50452,85
2026,Columbia,67.1187,244,66.4208,227,110.389,130,108.495,180,108.157,171,110.172,187,-1.67791,187
2026,Connecticut,66.3796,284,64.8296,312,117.488,42,123.381,21,97.1725,14,94.1144,11,29.2664,9
2026,Coppin St.,69.0069,147,68.0373,134,92.4889,362,92.4385,361,116.635,340,120.076,349,-27.6378,363
2026,Cornell,71.431,41,71.3491,18,118.329,37,118.743,55,116.572,338,118.8,338,-0.0567223,167
2026,Creighton,68.4734,182,67.2461,181,109.901,144,116.887,66,110.331,235,106.559,117,10.3276,81
2026,CSUN,75.1849,3,73.4621,2,106.917,209,108.863,174,107.039,143,108.717,160,0.146841,164
2026,Dartmouth,68.7943,162,69.2737,76,104.798,259,104.927,253,111.378,261,113.462,259,-8.53464,268
2026,Davidson,64.0434,352,63.2785,347,108.791,172,111.443,135,105.513,105,105.205,93,6.23754,106
2026,Dayton,68.7587,166,67.4859,173,109.545,155,111.801,127,101.122,43,100.756,38,11.0447,75
2026,Delaware,63.7452,358,62.7016,359,104.988,254,105.545,247,113.085,290,115.239,291,-9.6933,278
2026,Delaware St.,66.9263,253,66.1958,239,88.582,365,88.1537,365,108.824,186,115.747,300,-27.593,362
2026,Denver,69.4509,129,67.7812,148,116.744,50,116.881,67,120.955,360,121.864,356,-4.98267,224
2026,DePaul,67.7723,216,65.8501,258,105.433,241,108.781,175,103.275,63,101.721,43,7.06062,101
2026,Detroit Mercy,70.1528,94,68.9652,93,109.436,157,108.447,184,114.29,311,114.118,268,-5.67094,232
2026,Drake,68.1957,198,67.2828,180,108.837,171,110.419,156,111.811,272,113.532,260,-3.11311,200
2026,Drexel,65.3983,324,64.2111,332,103.51,279,103.05,288,102.92,55,107.634,132,-4.5838,222
2026,Duke,67.5125,227,65.3911,277,122.477,7,127.694,6,92.6648,1,88.0769,1,39.6167,1
2026,Duquesne,70.1552,93,69.2234,78,109.942,142,111.366,138,107.958,165,107.639,133,3.72638,126
2026,East Carolina,68.8206,160,68.3538,119,101.682,305,102.812,293,110.303,233,111.003,210,-8.19091,263
2026,East Tennessee St.,66.7754,259,66.0357,249,115.122,65,110.576,149,104.009,77,108.57,155,2.00663,140
2026,East Texas A&M,68.5513,178,68.066,132,98.1907,341,100.175,324,110.212,229,110.777,204,-10.6019,286
2026,Eastern Illinois,66.5427,273,65.6123,269,95.7299,352,95.8074,352,108.178,172,111.387,217,-15.5792,328
2026,Eastern Kentucky,68.7903,163,67.2424,182,111.223,111,109.314,166,118.372,350,119.906,347,-10.5922,285
2026,Eastern Michigan,68.3357,191,66.2216,236,102.133,301,102.325,300,107.737,158,108.399,153,-6.07364,236
2026,Eastern Washington,68.8953,156,67.5495,168,111.91,105,113.286,103,113.212,293,112.528,240,0.757714,158
2026,Elon,68.0393,206,66.7553,211,112.699,91,112.22,123,114.731,317,116.702,315,-4.48154,219
2026,Evansville,67.6938,218,67.0192,192,96.5261,349,101.666,309,115.323,322,114.503,278,-12.8364,306
