feature,coefficient,abs_coefficient
def_eff_advantage,2.789990652529823,2.789990652529823
off_eff_advantage,2.7299853830822576,2.7299853830822576
seed_diff,0.9095555163531978,0.9095555163531978
overall_rating_diff,0.4276486161990128,0.4276486161990128
efficiency_differential_diff,0.427577361003433,0.427577361003433
b_adj_em,-0.31500228229617006,0.31500228229617006
a_adj_em,0.3150021845882087,0.3150021845882087
b_adj_off_eff,-0.2558095731497902,0.2558095731497902
a_adj_off_eff,0.2558094935136061,0.2558094935136061
b_adj_def_eff,0.2514877628981314,0.2514877628981314
a_adj_def_eff,-0.2514876851965083,0.2514876851965083
tempo_difference,0.06738102651064581,0.06738102651064581
net_efficiency_edge,0.04871725928740929,0.04871725928740929
