team,adj_off_eff,adj_def_eff,adj_tempo,adj_em,efficiency_differential
Furman,106.197,109.339,65.7864,-3.14206,-3.141999999999996
Gardner Webb,95.985,123.228,69.4484,-27.2427,-27.242999999999995
George Mason,112.752,106.988,63.6704,5.76373,5.763999999999996
George Washington,119.546,108.695,69.0755,10.8504,10.851000000000013
Georgetown,114.876,105.842,66.153,9.03385,9.034000000000006
Georgia,124.849,104.341,71.0348,20.5084,20.50800000000001
Georgia Southern,107.827,116.287,70.5883,-8.46061,-8.460000000000008
Georgia St.,99.3971,111.807,67.5557,-12.41,-12.409900000000007
Georgia Tech,107.806,107.711,70.512,0.0942845,0.09499999999999886
Gonzaga,122.296,94.0225,69.0142,28.2736,28.273500000000013
Grambling St.,97.8901,109.242,67.5046,-11.352,-11.3519
Grand Canyon,110.526,97.7203,67.5421,12.8059,12.805700000000002
Green Bay,112.784,115.473,63.0476,-2.68946,-2.688999999999993
Hampton,102.165,111.198,64.9375,-9.03259,-9.032999999999987
Harvard,107.178,106.311,62.8294,0.866784,0.8669999999999902
Hawaii,106.797,101.243,69.4727,5.55428,5.554000000000002
High Point,118.448,109.893,69.6711,8.55536,8.554999999999993
Hofstra,114.198,105.938,65.2018,8.26048,8.259999999999991
Holy Cross,100.659,117.757,65.2775,-17.0986,-17.098
Houston,125.141,92.4653,63.1996,32.6758,32.675700000000006
Houston Christian,103.587,115.92,63.8423,-12.3331,-12.332999999999998
Howard,102.73,105.863,68.9444,-3.13367,-3.1329999999999956
Idaho,108.61,109.605,67.6007,-0.994703,-0.9950000000000045
Idaho St.,110.686,116.939,64.9189,-6.25299,-6.252999999999986
Illinois,132.247,99.141,65.2451,33.1055,33.10600000000001
Illinois Chicago,110.279,103.8,66.1217,6.47874,6.478999999999999
Illinois St.,110.73,103.459,66.8263,7.27108,7.271000000000001
Incarnate Word,108.478,116.951,65.5495,-8.47299,-8.472999999999999
Indiana,120.889,102.998,66.1025,17.8907,17.89099999999999
Indiana St.,105.99,110.274,68.1229,-4.28407,-4.284000000000006
Iona,104.581,111.58,68.4726,-6.99939,-6.998999999999995
Iowa,121.984,99.7087,62.7788,22.2755,22.2753
Iowa St.,123.798,93.5448,66.5518,30.2534,30.253200000000007
IU Indy,105.755,119.317,72.8423,-13.5622,-13.561999999999998
Jackson St.,99.7696,119.0,69.5336,-19.2308,-19.230400000000003
Jacksonville,102.778,114.376,63.0958,-11.5981,-11.597999999999999
Jacksonville St.,106.509,109.755,65.0034,-3.24546,-3.245999999999995
James Madison,109.09,113.146,65.3246,-4.05568,-4.055999999999997
Kansas,120.251,93.9313,67.06,26.3197,26.31970000000001
Kansas City,92.4337,116.589,69.7142,-24.1554,-24.155299999999997
Kansas St.,112.854,105.925,72.2548,6.9281,6.929000000000002
Kennesaw St.,110.365,110.882,71.1933,-0.516868,-0.5170000000000101
Kent St.,111.407,110.842,70.2167,0.564391,0.5649999999999977
Kentucky,121.069,99.0301,67.7861,22.0386,22.038899999999998
La Salle,103.65,109.123,64.7136,-5.47246,-5.472999999999999
Lafayette,100.607,115.64,66.583,-15.0324,-15.033000000000001
Lamar,104.367,109.248,65.263,-4.88132,-4.881
Le Moyne,102.083,113.176,69.4071,-11.0932,-11.093000000000004
Lehigh,103.049,114.641,66.7485,-11.5922,-11.591999999999999
Liberty,117.672,112.347,64.046,5.32486,5.325000000000003
Lindenwood,101.589,110.221,72.2411,-8.63153,-8.632000000000005
