team,kenpom_name,seed,region,momentum_flag,adj_off_eff,adj_def_eff,adj_tempo,adj_em,momentum_score,recent_margin_trend,recent_efg_pct,recent_def_efg,recent_win_pct_30d,conf_tourney_avg_margin,conf_tourney_wins,won_conf_tourney,consensus_rank,rank_disagreement,has_momentum_data
Queens,Queens,15,West,FLAT,116.156,118.483,69.4008,-2.32752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Michigan,Michigan,1,Midwest,ICY,128.367,88.9572,71.4061,39.4097,0.0,-6.7,0.5997612651787804,0.4874328203863436,0.8,0.0,0.0,0.0,1.0,0.0,True
Georgia,Georgia,8,Midwest,ICY,124.849,104.341,71.0348,20.5084,0.0,-5.900000000000001,0.6081723519773741,0.5758339901673366,0.6,0.0,0.0,0.0,33.666666666666664,3.6817870057290873,True
Saint Louis,Saint Louis,9,Midwest,FLAT,120.827,99.1428,71.3495,21.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Texas Tech,Texas Tech,5,Midwest,WARM,126.462,98.8066,66.5968,27.6549,5.333333333333333,-3.5,0.601158714822744,0.467194712464932,0.8,0.0,0.0,0.0,16.0,1.632993161855452,True
Akron,Akron,12,Midwest,FLAT,121.008,107.936,70.6866,13.0719,-1.0,2.7,0.5961771087309881,0.5376837190197559,1.0,0.0,0.0,0.0,60.66666666666666,5.734883511361751,True
Alabama,Alabama,4,Midwest,FLAT,129.533,102.943,73.0985,26.5906,0.0,-0.1,0.5848019149379032,0.4823164333664695,1.0,0.0,0.0,0.0,20.0,0.816496580927726,True
Hofstra,Hofstra,13,Midwest,WARM,114.198,105.938,65.2018,8.26048,9.0,-12.5,0.5503820498686716,0.4076923076923077,0.75,0.0,0.0,0.0,94.66666666666669,0.4714045207910317,True
Tennessee,Tennessee,6,Midwest,ICY,120.944,94.9567,65.028,25.9874,3.6666666666666665,-5.1,0.4883822435546572,0.5085657820440429,0.6,0.0,0.0,0.0,16.0,1.4142135623730951,True
Virginia,Virginia,3,Midwest,ICY,122.307,96.0507,65.6162,26.2559,-0.6666666666666666,-5.700000000000001,0.5433560572993136,0.4838996060843143,0.8,0.0,0.0,0.0,14.666666666666666,2.867441755680876,True
Wright State,Wright St.,14,Midwest,ICY,112.221,111.151,66.7795,1.06979,-16.666666666666668,-6.1000000000000005,0.5815551831680865,0.5533774615748938,0.8,0.0,0.0,0.0,148.0,6.164414002968976,True
Kentucky,Kentucky,7,Midwest,ICY,121.069,99.0301,67.7861,22.0386,-0.3333333333333333,-4.2,0.5327817247558025,0.5038865155517419,0.4,0.0,0.0,0.0,29.33333333333333,1.247219128924647,True
Santa Clara,Santa Clara,10,Midwest,ICY,122.767,103.288,69.9469,19.4786,1.3333333333333333,-14.9,0.5321732624825213,0.5537988801405921,0.5,0.0,0.0,0.0,39.66666666666666,3.6817870057290873,True
Iowa State,Iowa St.,2,Midwest,ICY,123.798,93.5448,66.5518,30.2534,-3.0,-6.7,0.518830068932986,0.5513506857179507,0.6,0.0,0.0,0.0,8.0,0.816496580927726,True
